Date,RegionID,RegionName,RegionType,StateName,Value,YoYChange
6/1/2023,394298,"Aberdeen, WA",msa,WA,1329.0432,0.060444
7/1/2023,394298,"Aberdeen, WA",msa,WA,1334.1398,0.057485
8/1/2023,394298,"Aberdeen, WA",msa,WA,1345.3192,0.047297
9/1/2023,394298,"Aberdeen, WA",msa,WA,1368.1805,0.061043
10/1/2023,394298,"Aberdeen, WA",msa,WA,1394.9554,0.076761
11/1/2023,394298,"Aberdeen, WA",msa,WA,1385.326,0.053887
12/1/2023,394298,"Aberdeen, WA",msa,WA,1367.2807,0.035434
1/1/2024,394298,"Aberdeen, WA",msa,WA,1356.3893,0.01747
2/1/2024,394298,"Aberdeen, WA",msa,WA,1378.0697,0.014485
3/1/2024,394298,"Aberdeen, WA",msa,WA,1420.192,0.048267
4/1/2024,394298,"Aberdeen, WA",msa,WA,1423.9158,0.061844
5/1/2024,394298,"Aberdeen, WA",msa,WA,1412.1965,0.071219
6/1/2024,394298,"Aberdeen, WA",msa,WA,1397.1503,0.051245
7/1/2024,394298,"Aberdeen, WA",msa,WA,1400.4101,0.049673
8/1/2024,394298,"Aberdeen, WA",msa,WA,1395.1111,0.037011
9/1/2024,394298,"Aberdeen, WA",msa,WA,1423.5507,0.04047
10/1/2024,394298,"Aberdeen, WA",msa,WA,1440.5185,0.032663
1/1/2016,394299,"Abilene, TX",msa,TX,815.344,0.022976
2/1/2016,394299,"Abilene, TX",msa,TX,816.1132,0.022919
3/1/2016,394299,"Abilene, TX",msa,TX,814.6746,0.021405
4/1/2016,394299,"Abilene, TX",msa,TX,821.3499,0.028626
5/1/2016,394299,"Abilene, TX",msa,TX,820.1748,0.015096
6/1/2016,394299,"Abilene, TX",msa,TX,827.1165,0.016634
7/1/2016,394299,"Abilene, TX",msa,TX,826.4117,0.012503
8/1/2016,394299,"Abilene, TX",msa,TX,826.1538,0.01648
9/1/2016,394299,"Abilene, TX",msa,TX,825.2504,0.016445
10/1/2016,394299,"Abilene, TX",msa,TX,825.3914,0.0168
11/1/2016,394299,"Abilene, TX",msa,TX,825.3492,0.012726
12/1/2016,394299,"Abilene, TX",msa,TX,821.2038,0.007345
1/1/2017,394299,"Abilene, TX",msa,TX,821.827,0.007951
2/1/2017,394299,"Abilene, TX",msa,TX,829.1505,0.015975
3/1/2017,394299,"Abilene, TX",msa,TX,842.2659,0.033868
4/1/2017,394299,"Abilene, TX",msa,TX,849.9839,0.034862
5/1/2017,394299,"Abilene, TX",msa,TX,858.3597,0.046557
6/1/2017,394299,"Abilene, TX",msa,TX,863.1225,0.043532
7/1/2017,394299,"Abilene, TX",msa,TX,862.54,0.043717
8/1/2017,394299,"Abilene, TX",msa,TX,860.2694,0.041295
9/1/2017,394299,"Abilene, TX",msa,TX,854.5987,0.035563
10/1/2017,394299,"Abilene, TX",msa,TX,858.2026,0.039752
11/1/2017,394299,"Abilene, TX",msa,TX,856.5579,0.037813
12/1/2017,394299,"Abilene, TX",msa,TX,863.4732,0.051472
1/1/2018,394299,"Abilene, TX",msa,TX,866.5877,0.054465
2/1/2018,394299,"Abilene, TX",msa,TX,873.3856,0.05335
3/1/2018,394299,"Abilene, TX",msa,TX,872.4173,0.035798
4/1/2018,394299,"Abilene, TX",msa,TX,874.7258,0.029109
5/1/2018,394299,"Abilene, TX",msa,TX,879.0544,0.02411
6/1/2018,394299,"Abilene, TX",msa,TX,889.6913,0.030782
7/1/2018,394299,"Abilene, TX",msa,TX,894.8639,0.037475
8/1/2018,394299,"Abilene, TX",msa,TX,896.0179,0.041555
9/1/2018,394299,"Abilene, TX",msa,TX,890.1159,0.04156
10/1/2018,394299,"Abilene, TX",msa,TX,887.3638,0.033979
11/1/2018,394299,"Abilene, TX",msa,TX,889.4777,0.038433
12/1/2018,394299,"Abilene, TX",msa,TX,897.8863,0.039854
1/1/2019,394299,"Abilene, TX",msa,TX,899.8173,0.038345
2/1/2019,394299,"Abilene, TX",msa,TX,900.5234,0.031072
3/1/2019,394299,"Abilene, TX",msa,TX,905.0837,0.037444
4/1/2019,394299,"Abilene, TX",msa,TX,912.4328,0.043107
5/1/2019,394299,"Abilene, TX",msa,TX,922.7177,0.049671
6/1/2019,394299,"Abilene, TX",msa,TX,927.5094,0.042507
7/1/2019,394299,"Abilene, TX",msa,TX,930.5281,0.039854
8/1/2019,394299,"Abilene, TX",msa,TX,930.1219,0.038062
9/1/2019,394299,"Abilene, TX",msa,TX,925.968,0.040278
10/1/2019,394299,"Abilene, TX",msa,TX,931.4201,0.049649
11/1/2019,394299,"Abilene, TX",msa,TX,930.2571,0.045847
12/1/2019,394299,"Abilene, TX",msa,TX,938.6126,0.045358
1/1/2020,394299,"Abilene, TX",msa,TX,935.6192,0.039788
2/1/2020,394299,"Abilene, TX",msa,TX,945.9306,0.050423
3/1/2020,394299,"Abilene, TX",msa,TX,949.7759,0.049379
4/1/2020,394299,"Abilene, TX",msa,TX,959.2333,0.051292
5/1/2020,394299,"Abilene, TX",msa,TX,958.4083,0.03868
6/1/2020,394299,"Abilene, TX",msa,TX,966.6954,0.042249
7/1/2020,394299,"Abilene, TX",msa,TX,973.0454,0.045692
8/1/2020,394299,"Abilene, TX",msa,TX,981.6788,0.05543
9/1/2020,394299,"Abilene, TX",msa,TX,982.9714,0.061561
10/1/2020,394299,"Abilene, TX",msa,TX,988.0968,0.06085
11/1/2020,394299,"Abilene, TX",msa,TX,993.2649,0.067732
12/1/2020,394299,"Abilene, TX",msa,TX,1000.4629,0.065895
1/1/2021,394299,"Abilene, TX",msa,TX,1009.1951,0.078639
2/1/2021,394299,"Abilene, TX",msa,TX,1012.3757,0.070243
3/1/2021,394299,"Abilene, TX",msa,TX,1023.9054,0.078049
4/1/2021,394299,"Abilene, TX",msa,TX,1027.0215,0.070669
5/1/2021,394299,"Abilene, TX",msa,TX,1038.2351,0.083291
6/1/2021,394299,"Abilene, TX",msa,TX,1039.8192,0.075643
7/1/2021,394299,"Abilene, TX",msa,TX,1054.561,0.083774
8/1/2021,394299,"Abilene, TX",msa,TX,1074.0845,0.09413
9/1/2021,394299,"Abilene, TX",msa,TX,1091.1864,0.11009
10/1/2021,394299,"Abilene, TX",msa,TX,1105.4533,0.11877
11/1/2021,394299,"Abilene, TX",msa,TX,1104.6053,0.112095
12/1/2021,394299,"Abilene, TX",msa,TX,1092.8682,0.092363
1/1/2022,394299,"Abilene, TX",msa,TX,1082.3462,0.072485
2/1/2022,394299,"Abilene, TX",msa,TX,1087.5976,0.074302
3/1/2022,394299,"Abilene, TX",msa,TX,1107.0458,0.081199
4/1/2022,394299,"Abilene, TX",msa,TX,1128.7898,0.099091
5/1/2022,394299,"Abilene, TX",msa,TX,1143.3931,0.101285
6/1/2022,394299,"Abilene, TX",msa,TX,1154.4198,0.110212
7/1/2022,394299,"Abilene, TX",msa,TX,1159.2376,0.099261
8/1/2022,394299,"Abilene, TX",msa,TX,1173.7878,0.092826
9/1/2022,394299,"Abilene, TX",msa,TX,1183.703,0.084785
10/1/2022,394299,"Abilene, TX",msa,TX,1182.6731,0.069853
11/1/2022,394299,"Abilene, TX",msa,TX,1180.8689,0.069042
12/1/2022,394299,"Abilene, TX",msa,TX,1176.6411,0.076654
1/1/2023,394299,"Abilene, TX",msa,TX,1178.289,0.088643
